index,stock
1,ABM
2,AWR
3,BKH
4,CBSH
5,CINF
6,CL
7,CWT
8,DOV
9,EMR
10,FMCB
11,FRT
12,FUL
13,GPC
14,HRL
15,JNJ
16,KO
17,LANC
18,LOW
19,MMM
20,MO
21,NDSN
22,NFG
23,NWN
24,PG
25,PH
26,SCL
27,SJW
28,SWK
29,SYY
30,TR
31,UVV
