This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Watchlist 'Real estate eps pos'

Real estate eps pos
Symbol
AIV
AMT
APLE
ARE
BDN
BHR
BNL
BPYU
BXP
CDOR
CLI
CMCT
COR
CORR
CSR
CTO
CTRE
CUBE
DEA
DHC
DOC
DRH
EGP
ELS
EQC
EQIX
EQR
ESS
EXR
FOR
GLPI
GOOD
GTY
HIW
HST
HT
ILPT
INDT
IRCP
IRM
IRS
KIM
KW
LMRK
LSI
LTC
LXP
MNR
NHI
NSA
O
OLP
PCH
PDM
PK
PSB
REXR
RPT
SAFE
SLG
STAR
STOR
SVC
TRC
TRNO
UE
VNO
WPC
WY
XIN
