index,stock
1,ADM
2,ALCO
3,BF/A
4,BF/B
5,BG
6,BGS
7,BJ
8,CAG
9,CASY
10,CENT
11,CENTA
12,CHD
13,CHEF
14,CL
15,CLX
16,COKE
17,COST
18,COTY
19,DAR
20,FIZZ
21,GIS
22,HRL
23,HSY
24,IMKTA
25,JBSS
26,K
27,KMB
28,KO
29,LANC
30,LFVN
31,LMNR
32,MED
33,MGPI
34,MKC
35,MKC/V
36,MNST
37,NATR
38,NGVC
39,NUS
40,OBCI
41,ODC
42,PEP
43,PFGC
44,PG
45,PM
46,REYN
47,SAM
48,SENEB
49,SFM
50,SJM
51,SMPL
52,STZ
53,STZ/B
54,SYY
55,THS
56,TPB
57,TSN
58,UL
59,USNA
60,VGR
61,VLGEA
62,WBA
63,WDFC
64,WMK
65,WMT
